Step	Training Loss	Validation Loss	Dataset
200	5.7012	4.999391	SQuAD
200	5.7012	4.960804	Natural
200	5.7012	4.994357	Adversarial
200	5.7012	6.016301	Trivia
400	4.4129	3.765609	SQuAD
400	4.4129	3.599032	Natural
400	4.4129	4.136456	Adversarial
400	4.4129	5.990736	Trivia
600	3.0641	2.474549	SQuAD
600	3.0641	3.147077	Natural
600	3.0641	4.133989	Adversarial
600	3.0641	5.012846	Trivia
800	2.3916	2.09041	SQuAD
800	2.3916	2.914807	Natural
800	2.3916	4.078745	Adversarial
800	2.3916	4.534021	Trivia
1000	2.0234	1.732395	SQuAD
1000	2.0234	2.522063	Natural
1000	2.0234	3.963885	Adversarial
1000	2.0234	4.065682	Trivia
1200	1.7916	1.530308	SQuAD
1200	1.7916	2.216316	Natural
1200	1.7916	3.535983	Adversarial
1200	1.7916	3.778833	Trivia
1400	1.6132	1.461012	SQuAD
1400	1.6132	2.191376	Natural
1400	1.6132	3.646646	Adversarial
1400	1.6132	3.64215	Trivia
1600	1.5614	1.357777	SQuAD
1600	1.5614	2.081221	Natural
1600	1.5614	3.4908	Adversarial
1600	1.5614	2.720265	Trivia
1800	1.3925	1.341238	SQuAD
1800	1.3925	2.104539	Natural
1800	1.3925	3.567964	Adversarial
1800	1.3925	2.764352	Trivia
2000	1.3613	1.256693	SQuAD
2000	1.3613	2.059663	Natural
2000	1.3613	3.658715	Adversarial
2000	1.3613	2.034656	Trivia
2200	1.3456	1.2185	SQuAD
2200	1.3456	1.97927	Natural
2200	1.3456	3.585375	Adversarial
2200	1.3456	1.833656	Trivia
2400	1.3014	1.2579	SQuAD
2400	1.3014	2.048748	Natural
2400	1.3014	3.67362	Adversarial
2400	1.3014	2.634667	Trivia
2600	1.2716	1.183762	SQuAD
2600	1.2716	1.950864	Natural
2600	1.2716	3.473078	Adversarial
2600	1.2716	2.184966	Trivia
2800	1.2464	1.178382	SQuAD
2800	1.2464	1.871392	Natural
2800	1.2464	3.436547	Adversarial
2800	1.2464	2.174941	Trivia
3000	1.1982	1.144372	SQuAD
3000	1.1982	1.889075	Natural
3000	1.1982	3.492028	Adversarial
3000	1.1982	1.790144	Trivia
3200	1.1452	1.1276	SQuAD
3200	1.1452	1.907697	Natural
3200	1.1452	3.445919	Adversarial
3200	1.1452	1.816921	Trivia
3400	1.1421	1.128898	SQuAD
3400	1.1421	1.876666	Natural
3400	1.1421	3.302652	Adversarial
3400	1.1421	2.020229	Trivia
3600	1.1461	1.106191	SQuAD
3600	1.1461	1.821424	Natural
3600	1.1461	3.083506	Adversarial
3600	1.1461	1.870096	Trivia
3800	1.1652	1.12144	SQuAD
3800	1.1652	1.958474	Natural
3800	1.1652	3.514325	Adversarial
3800	1.1652	2.181196	Trivia
4000	1.1879	1.094695	SQuAD
4000	1.1879	1.821221	Natural
4000	1.1879	3.184805	Adversarial
4000	1.1879	2.122715	Trivia
4200	1.1605	1.097716	SQuAD
4200	1.1605	1.783098	Natural
4200	1.1605	3.209691	Adversarial
4200	1.1605	2.109874	Trivia
4400	1.0986	1.07828	SQuAD
4400	1.0986	1.841739	Natural
4400	1.0986	3.259952	Adversarial
4400	1.0986	1.850201	Trivia
4600	1.0994	1.079146	SQuAD
4600	1.0994	1.792801	Natural
4600	1.0994	3.165525	Adversarial
4600	1.0994	1.946583	Trivia
4800	1.0705	1.064757	SQuAD
4800	1.0705	1.788048	Natural
4800	1.0705	3.143121	Adversarial
4800	1.0705	1.974521	Trivia
5000	1.1264	1.049484	SQuAD
5000	1.1264	1.756251	Natural
5000	1.1264	3.144632	Adversarial
5000	1.1264	1.944404	Trivia
5200	1.1063	1.062737	SQuAD
5200	1.1063	1.818146	Natural
5200	1.1063	3.18674	Adversarial
5200	1.1063	2.064575	Trivia
5400	1.0719	1.047592	SQuAD
5400	1.0719	1.825209	Natural
5400	1.0719	3.195958	Adversarial
5400	1.0719	1.944853	Trivia
5600	1.0041	1.072671	SQuAD
5600	1.0041	1.851452	Natural
5600	1.0041	3.40301	Adversarial
5600	1.0041	2.037622	Trivia
5800	0.854	1.073345	SQuAD
5800	0.854	1.888091	Natural
5800	0.854	3.458508	Adversarial
5800	0.854	1.866002	Trivia
6000	0.8863	1.061925	SQuAD
6000	0.8863	1.834656	Natural
6000	0.8863	3.332546	Adversarial
6000	0.8863	1.940716	Trivia
6200	0.8032	1.084955	SQuAD
6200	0.8032	1.907868	Natural
6200	0.8032	3.546298	Adversarial
6200	0.8032	2.039778	Trivia
6400	0.8724	1.064986	SQuAD
6400	0.8724	1.805547	Natural
6400	0.8724	3.406089	Adversarial
6400	0.8724	1.874612	Trivia
6600	0.8479	1.084836	SQuAD
6600	0.8479	1.869644	Natural
6600	0.8479	3.42561	Adversarial
6600	0.8479	2.008158	Trivia
6800	0.8405	1.054947	SQuAD
6800	0.8405	1.819019	Natural
6800	0.8405	3.27858	Adversarial
6800	0.8405	1.965572	Trivia
7000	0.8551	1.052791	SQuAD
7000	0.8551	1.897307	Natural
7000	0.8551	3.457644	Adversarial
7000	0.8551	1.892637	Trivia
7200	0.8775	1.075203	SQuAD
7200	0.8775	1.893211	Natural
7200	0.8775	3.542175	Adversarial
7200	0.8775	2.111984	Trivia
7400	0.8479	1.060861	SQuAD
7400	0.8479	1.827945	Natural
7400	0.8479	3.345272	Adversarial
7400	0.8479	1.973056	Trivia
