metric,samples,sample_size,iters,field,threshold,is_not_overlap,distance,len_lower,len_higher
exact_match,200,1000,5,distances,2,True,2.1544999999999987,4031,5368
f1,200,1000,5,distances,2,True,1.8432132711027833,4031,5368
exact_match,200,1000,5,distances,3,True,3.234499999999997,5223,4176
f1,200,1000,5,distances,3,True,2.564618216059557,5223,4176
exact_match,200,1000,5,distances,4,True,4.116500000000002,5973,3426
f1,200,1000,5,distances,4,True,3.3129944362936783,5973,3426
exact_match,200,1000,5,distances,5,True,4.6129999999999995,6524,2875
f1,200,1000,5,distances,5,True,3.8284420506674053,6524,2875
exact_match,200,1000,5,distances,6,True,5.073499999999996,6939,2460
f1,200,1000,5,distances,6,True,4.095561557050402,6939,2460
exact_match,200,1000,5,similar_words,2,True,2.4950000000000045,1670,8900
f1,200,1000,5,similar_words,2,True,1.4847773961130883,1670,8900
exact_match,200,1000,5,similar_words,3,True,0.9150000000000063,3126,7444
f1,200,1000,5,similar_words,3,True,0.3142868286681022,3126,7444
exact_match,200,1000,5,similar_words,4,True,0.3545000000000016,4830,5740
f1,200,1000,5,similar_words,4,True,0.12862042300284315,4830,5740
exact_match,200,1000,5,similar_words,5,True,0.23699999999999477,6469,4101
f1,200,1000,5,similar_words,5,True,0.4095627257910337,6469,4101
exact_match,200,1000,5,kth_sentence,1,False,0,2015,8555
f1,200,1000,5,kth_sentence,1,False,0,2015,8555
exact_match,200,1000,5,kth_sentence,2,False,0,4520,6050
f1,200,1000,5,kth_sentence,2,False,0,4520,6050
exact_match,200,1000,5,kth_sentence,3,False,0,6571,3999
f1,200,1000,5,kth_sentence,3,False,0,6571,3999
exact_match,200,1000,5,kth_sentence,4,False,0,8178,2392
f1,200,1000,5,kth_sentence,4,False,0,8178,2392
exact_match,200,1000,5,cosine_similarity,0.25,False,0,2852,7718
f1,200,1000,5,cosine_similarity,0.25,False,0,2852,7718
exact_match,200,1000,5,cosine_similarity,0.3,False,0,4096,6474
f1,200,1000,5,cosine_similarity,0.3,False,0,4096,6474
exact_match,200,1000,5,cosine_similarity,0.35,False,0,5384,5186
f1,200,1000,5,cosine_similarity,0.35,False,0,5384,5186
exact_match,200,1000,5,cosine_similarity,0.4,False,0,6674,3896
f1,200,1000,5,cosine_similarity,0.4,False,0,6674,3896
exact_match,200,1000,5,cosine_similarity,0.45,False,0,7873,2697
f1,200,1000,5,cosine_similarity,0.45,False,0,7873,2697
