Step,Training Loss,Validation Loss,Dataset
200,5.8118,5.562579,SQuAD
200,5.8118,5.54038,Natural
200,5.8118,5.539859,Adversarial
200,5.8118,5.975729,Trivia
400,4.9934,4.404427,SQuAD
400,4.9934,4.190885,Natural
400,4.9934,4.389775,Adversarial
400,4.9934,6.072878,Trivia
600,3.9548,3.407716,SQuAD
600,3.9548,3.296608,Natural
600,3.9548,3.998868,Adversarial
600,3.9548,5.059246,Trivia
800,3.1452,2.497854,SQuAD
800,3.1452,2.996767,Natural
800,3.1452,3.973242,Adversarial
800,3.1452,4.484023,Trivia
1000,2.61,2.014261,SQuAD
1000,2.61,2.574856,Natural
1000,2.61,3.89945,Adversarial
1000,2.61,4.047582,Trivia
1200,2.2564,1.726084,SQuAD
1200,2.2564,2.366544,Natural
1200,2.2564,3.753044,Adversarial
1200,2.2564,2.901593,Trivia
1400,2.0306,1.581769,SQuAD
1400,2.0306,2.17966,Natural
1400,2.0306,3.635692,Adversarial
1400,2.0306,2.702794,Trivia
1600,1.8602,1.479556,SQuAD
1600,1.8602,2.074932,Natural
1600,1.8602,3.543195,Adversarial
1600,1.8602,2.721434,Trivia
1800,1.7359,1.420784,SQuAD
1800,1.7359,2.051827,Natural
1800,1.7359,3.548601,Adversarial
1800,1.7359,2.519898,Trivia
2000,1.675,1.377774,SQuAD
2000,1.675,2.024612,Natural
2000,1.675,3.566308,Adversarial
2000,1.675,2.337431,Trivia
2200,1.6354,1.32293,SQuAD
2200,1.6354,1.962655,Natural
2200,1.6354,3.378595,Adversarial
2200,1.6354,2.644572,Trivia
2400,1.481,1.317193,SQuAD
2400,1.481,1.98015,Natural
2400,1.481,3.483868,Adversarial
2400,1.481,2.293326,Trivia
2600,1.5066,1.271083,SQuAD
2600,1.5066,1.934377,Natural
2600,1.5066,3.404046,Adversarial
2600,1.5066,2.331465,Trivia
2800,1.3978,1.266262,SQuAD
2800,1.3978,1.891511,Natural
2800,1.3978,3.355846,Adversarial
2800,1.3978,2.226211,Trivia
3000,1.4022,1.243125,SQuAD
3000,1.4022,1.903422,Natural
3000,1.4022,3.2951,Adversarial
3000,1.4022,2.19426,Trivia
3200,1.3198,1.224678,SQuAD
3200,1.3198,1.911927,Natural
3200,1.3198,3.491302,Adversarial
3200,1.3198,2.217691,Trivia
3400,1.2734,1.226038,SQuAD
3400,1.2734,1.928851,Natural
3400,1.2734,3.577219,Adversarial
3400,1.2734,2.806262,Trivia
3600,1.288,1.177355,SQuAD
3600,1.288,1.837878,Natural
3600,1.288,3.45982,Adversarial
3600,1.288,2.008017,Trivia
3800,1.2682,1.173727,SQuAD
3800,1.2682,1.801839,Natural
3800,1.2682,3.29355,Adversarial
3800,1.2682,2.538786,Trivia
4000,1.2294,1.203834,SQuAD
4000,1.2294,1.921189,Natural
4000,1.2294,3.513636,Adversarial
4000,1.2294,2.7081,Trivia
4200,1.2335,1.183135,SQuAD
4200,1.2335,1.863692,Natural
4200,1.2335,3.463612,Adversarial
4200,1.2335,2.52302,Trivia
4400,1.1691,1.139608,SQuAD
4400,1.1691,1.825965,Natural
4400,1.1691,3.314596,Adversarial
4400,1.1691,2.352007,Trivia
4600,1.1295,1.1393,SQuAD
4600,1.1295,1.82244,Natural
4600,1.1295,3.302856,Adversarial
4600,1.1295,2.06814,Trivia
4800,1.1043,1.128578,SQuAD
4800,1.1043,1.851964,Natural
4800,1.1043,3.502111,Adversarial
4800,1.1043,1.756378,Trivia
5000,1.1378,1.123422,SQuAD
5000,1.1378,1.839717,Natural
5000,1.1378,3.364992,Adversarial
5000,1.1378,1.93812,Trivia
5200,1.1111,1.093296,SQuAD
5200,1.1111,1.82061,Natural
5200,1.1111,3.359849,Adversarial
5200,1.1111,1.85285,Trivia
5400,1.0611,1.149913,SQuAD
5400,1.0611,1.949232,Natural
5400,1.0611,3.588341,Adversarial
5400,1.0611,2.161667,Trivia
5600,1.0314,1.108921,SQuAD
5600,1.0314,1.83566,Natural
5600,1.0314,3.405124,Adversarial
5600,1.0314,1.923971,Trivia
5800,0.9969,1.125804,SQuAD
5800,0.9969,1.811908,Natural
5800,0.9969,3.398677,Adversarial
5800,0.9969,2.21749,Trivia
6000,1.0354,1.107441,SQuAD
6000,1.0354,1.866095,Natural
6000,1.0354,3.332499,Adversarial
6000,1.0354,2.309709,Trivia
6200,0.9773,1.135086,SQuAD
6200,0.9773,1.862621,Natural
6200,0.9773,3.409827,Adversarial
6200,0.9773,2.076904,Trivia
6400,0.983,1.123252,SQuAD
6400,0.983,1.906175,Natural
6400,0.983,3.461475,Adversarial
6400,0.983,2.069665,Trivia
6600,0.9396,1.162669,SQuAD
6600,0.9396,1.957913,Natural
6600,0.9396,3.769793,Adversarial
6600,0.9396,2.086777,Trivia
6800,0.9545,1.111347,SQuAD
6800,0.9545,1.851944,Natural
6800,0.9545,3.386364,Adversarial
6800,0.9545,2.224771,Trivia
7000,0.9435,1.118683,SQuAD
7000,0.9435,1.841812,Natural
7000,0.9435,3.469635,Adversarial
7000,0.9435,2.304883,Trivia
7200,0.9304,1.117684,SQuAD
7200,0.9304,1.81367,Natural
7200,0.9304,3.392698,Adversarial
7200,0.9304,2.083743,Trivia
